,期号,日期,号码,百,十,个,和值,和值（同比）跨度,年份,和尾,百大小,十大小,个大小,和尾大小,百奇偶,十奇偶,个奇偶,百余数,十余数,个余数,百ZH,十ZH,个ZH,和尾ZH,跨度
0,4001,2004/11/14,192,1,9,2,12,0,2004,2,小,大,小,小,奇,奇,偶,1,0,2,他,合,质,质,8
1,4002,2004/11/16,317,3,1,7,11,1,2004,1,小,小,大,小,奇,奇,奇,0,1,1,质,他,质,他,6
2,4003,2004/11/19,718,7,1,8,16,5,2004,6,大,小,大,大,奇,奇,偶,1,1,2,质,他,合,合,7
3,4004,2004/11/21,443,4,4,3,11,5,2004,1,小,小,小,小,偶,偶,奇,1,1,0,合,合,质,他,1
4,4005,2004/11/22,54,0,5,4,9,2,2004,9,小,大,小,大,偶,奇,偶,0,2,1,他,质,合,合,1
5,4006,2004/11/23,526,5,2,6,13,4,2004,3,大,小,大,小,奇,偶,偶,2,2,0,质,质,合,质,4
6,4007,2004/11/24,830,8,3,0,11,2,2004,1,大,小,小,小,偶,奇,偶,2,0,0,合,质,他,他,8
7,4008,2004/11/25,622,6,2,2,10,1,2004,0,大,小,小,小,偶,偶,偶,0,2,2,合,质,质,他,4
8,4009,2004/11/26,441,4,4,1,9,1,2004,9,小,小,小,大,偶,偶,奇,1,1,1,合,合,他,合,3
9,4010,2004/11/27,227,2,2,7,11,2,2004,1,小,小,大,小,偶,偶,奇,2,2,1,质,质,质,他,5
10,4011,2004/11/28,436,4,3,6,13,2,2004,3,小,小,大,小,偶,奇,偶,1,0,0,合,质,合,质,3
11,4012,2004/11/29,430,4,3,0,7,6,2004,7,小,小,小,大,偶,奇,偶,1,0,0,合,质,他,质,4
12,4013,2004/11/30,3,0,0,3,3,4,2004,3,小,小,小,小,偶,偶,奇,0,0,0,他,他,质,质,0
13,4014,2004/12/1,335,3,3,5,11,8,2004,1,小,小,大,小,奇,奇,奇,0,0,2,质,质,质,他,2
14,4015,2004/12/2,459,4,5,9,18,7,2004,8,小,大,大,大,偶,奇,奇,1,2,0,合,质,合,合,5
15,4016,2004/12/3,444,4,4,4,12,6,2004,2,小,小,小,小,偶,偶,偶,1,1,1,合,合,合,质,0
16,4017,2004/12/4,419,4,1,9,14,2,2004,4,小,小,大,小,偶,奇,奇,1,1,0,合,他,合,合,8
17,4018,2004/12/5,612,6,1,2,9,5,2004,9,大,小,小,大,偶,奇,偶,0,1,2,合,他,质,合,5
18,4019,2004/12/6,471,4,7,1,12,3,2004,2,小,大,小,小,偶,奇,奇,1,1,1,合,质,他,质,6
19,4020,2004/12/7,810,8,1,0,9,3,2004,9,大,小,小,大,偶,奇,偶,2,1,0,合,他,他,合,8
20,4021,2004/12/8,393,3,9,3,15,6,2004,5,小,大,小,大,奇,奇,奇,0,0,0,质,合,质,质,6
21,4022,2004/12/9,591,5,9,1,15,0,2004,5,大,大,小,大,奇,奇,奇,2,0,1,质,合,他,质,8
22,4023,2004/12/10,871,8,7,1,16,1,2004,6,大,大,小,大,偶,奇,奇,2,1,1,合,质,他,合,7
23,4024,2004/12/11,886,8,8,6,22,6,2004,2,大,大,大,小,偶,偶,偶,2,2,0,合,合,合,质,2
24,4025,2004/12/12,618,6,1,8,15,7,2004,5,大,小,大,大,偶,奇,偶,0,1,2,合,他,合,质,7
25,4026,2004/12/13,621,6,2,1,9,6,2004,9,大,小,小,大,偶,偶,奇,0,2,1,合,质,他,合,5
26,4027,2004/12/14,363,3,6,3,12,3,2004,2,小,大,小,小,奇,偶,奇,0,0,0,质,合,质,质,3
27,4028,2004/12/15,75,0,7,5,12,0,2004,2,小,大,大,小,偶,奇,奇,0,1,2,他,质,质,质,2
28,4029,2004/12/16,256,2,5,6,13,1,2004,3,小,大,大,小,偶,奇,偶,2,2,0,质,质,合,质,4
29,4030,2004/12/17,120,1,2,0,3,10,2004,3,小,小,小,小,奇,偶,偶,1,2,0,他,质,他,质,2
30,4031,2004/12/18,362,3,6,2,11,8,2004,1,小,大,小,小,奇,偶,偶,0,0,2,质,合,质,他,4
31,4032,2004/12/19,378,3,7,8,18,7,2004,8,小,大,大,大,奇,奇,偶,0,1,2,质,质,合,合,5
32,4033,2004/12/20,505,5,0,5,10,8,2004,0,大,小,大,小,奇,偶,奇,2,0,2,质,他,质,他,5
33,4034,2004/12/21,995,9,9,5,23,13,2004,3,大,大,大,小,奇,奇,奇,0,0,2,合,合,质,质,4
34,4035,2004/12/22,374,3,7,4,14,9,2004,4,小,大,小,小,奇,奇,偶,0,1,1,质,质,合,合,4
35,4036,2004/12/23,9,0,0,9,9,5,2004,9,小,小,大,大,偶,偶,奇,0,0,0,他,他,合,合,0
36,4037,2004/12/24,325,3,2,5,10,1,2004,0,小,小,大,小,奇,偶,奇,0,2,2,质,质,质,他,3
37,4038,2004/12/25,425,4,2,5,11,1,2004,1,小,小,大,小,偶,偶,奇,1,2,2,合,质,质,他,3
38,4039,2004/12/26,802,8,0,2,10,1,2004,0,大,小,小,小,偶,偶,偶,2,0,2,合,他,质,他,8
39,4040,2004/12/27,566,5,6,6,17,7,2004,7,大,大,大,大,奇,偶,偶,2,0,0,质,合,合,质,1
40,4041,2004/12/28,814,8,1,4,13,4,2004,3,大,小,小,小,偶,奇,偶,2,1,1,合,他,合,质,7
41,4042,2004/12/29,780,7,8,0,15,2,2004,5,大,大,小,大,奇,偶,偶,1,2,0,质,合,他,质,8
42,4043,2004/12/30,704,7,0,4,11,4,2004,1,大,小,小,小,奇,偶,偶,1,0,1,质,他,合,他,7
43,4044,2004/12/31,382,3,8,2,13,2,2004,3,小,大,小,小,奇,偶,偶,0,2,2,质,合,质,质,6
44,5001,2005/1/1,54,0,5,4,9,4,2005,9,小,大,小,大,偶,奇,偶,0,2,1,他,质,合,合,1
45,5002,2005/1/2,366,3,6,6,15,6,2005,5,小,大,大,大,奇,偶,偶,0,0,0,质,合,合,质,3
46,5003,2005/1/3,431,4,3,1,8,7,2005,8,小,小,小,大,偶,奇,奇,1,0,1,合,质,他,合,3
47,5004,2005/1/4,674,6,7,4,17,9,2005,7,大,大,小,大,偶,奇,偶,0,1,1,合,质,合,质,3
48,5005,2005/1/5,299,2,9,9,20,3,2005,0,小,大,大,小,偶,奇,奇,2,0,0,质,合,合,他,7
49,5006,2005/1/6,420,4,2,0,6,14,2005,6,小,小,小,大,偶,偶,偶,1,2,0,合,质,他,合,4
50,5007,2005/1/7,435,4,3,5,12,6,2005,2,小,小,大,小,偶,奇,奇,1,0,2,合,质,质,质,2
51,5008,2005/1/8,281,2,8,1,11,1,2005,1,小,大,小,小,偶,偶,奇,2,2,1,质,合,他,他,7
52,5009,2005/1/9,869,8,6,9,23,12,2005,3,大,大,大,小,偶,偶,奇,2,0,0,合,合,合,质,3
53,5010,2005/1/10,416,4,1,6,11,12,2005,1,小,小,大,小,偶,奇,偶,1,1,0,合,他,合,他,5
